Question,Correct Answer Choice,Incorrect Answer Choice,Incorrect Answer Choice,Incorrect Answer Choice
"While playing a fun game on the Internet you get a message. The message says ""Click here now to win a brand new iPhone!!!"" What should you do?",Leave the website,Click on the link,Open the link in a new tab,Celebrate!
Should I text you my password?,No,Yes,Depends,Who cares?
Should everyone know my password?,No,Yes,Depends,Who cares?
Should you accept friend/follower requests on social media from strangers?,No,Yes,If they seem cool,If they follow someone I know
Which of the following is a safe way to use social media?,Set your profile to private,Share your personal information with strangers,Post inappropriate content,Use the same password for all your social media accounts
Which of the following is a safe way to share personal information online?,Only share your personal information with trusted individuals,Post your phone number on social media,Share your password with your friends,Post your home address on your blog
"If you are 12 years old and want to use a website with a minimum age of 13, what should you do?",Don't use the website until you are 13,"Lie about your birthday, since 12 is close enough",Use your friend's account who is 13,
What should you do if you receive an email from an unknown sender asking for personal information?,Ignore the email,Reply and tell them about yourself,Give them your parents' information,Forward the email to your friends
Why is it important to have a strong password?,So that your accounts and information are protected,So that you can remember it easily,So that other people can easily guess it,
What is cybersecurity?,Keeping our devices safe,Protecting our pets from danger,Learning about the ocean,
What is online privacy?,Keeping our personal information safe and private when we use the Internet,Sharing our personal information with everyone we meet,Posting our personal information online for everyone to see,
What is a computer virus?,A type of software that harms our device,A type of animal that lives in the ocean,A type of food that we eat for breakfast,
What is cyberbullying?,When someone uses the internet to say mean or hurtful things to another person,When someone gives us a compliment online,When we share our favorite hobby online,
What is phishing?,A type of attack that tries to trick people into giving sensitive information,A type of fish that lives in the ocean,A type of game you can play online with your friends,
What is a password?,A secret word that you use to protect your computer or device,A type of food that you eat for breakfast,A type of toy that you play with outside,
What should you do if you receive an email or message from someone you don't know?,Ignore the message and delete it,Reply to the message and tell them your name and where you live,Reply to the message and ask them to be your friend,
"To prevent other people from using your iPad, you should...",Set a password,Tell other people not to use it,Booby trap your iPad,
What needs security?,Everything,Only my phone,Only my computer,
What's a good password?,f(65^JNgmc!%F)Y,password123,My birthday,My name
Who can you share your passwords with?,Nobody,Anyone in your class,Your friends,Anyone who gives you $5
"If you post something on the internet, who may be able to see it?",Anyone,Only yourself,Only family,Only friends
A classmate tells you that somebody has been calling him mean names on an online game. What should you do?,Tell an adult,Call the classmate mean names,Ignore it,
Who should you accept friend requests from online?,Only people you know,Someone who you don't know,Anyone,
Your friend tells you that she is talking to a boy online and she is going to meet in real life tomorrow. What should you do?,Tell an adult,Do nothing,Go with her,Let her go alone
You are on a website and it asks you to click a link to download a game. What should you do?,Ask an adult if the link is safe,Download it,Ask your friends,
What should you do if a stranger asks you to send a picture of yourself to them?,Do not send it and tell an adult,Ignore it,Send the photo to the stranger,
Do you have valuable information to steal?,Yes,No,,
Who is responsible for cybersecurity?,Everyone,My dog,Only the government,Only Google
"If you are in a playing a video game and someone you don't know asks you for your real name, what do you do?",Don't tell them your real name,Tell them just a little bit about yourself,Tell them everything they want to know,
"You get a new email that says you won a lot of money, and that you should click a link to get it. Should you click the link?",No,Yes,Only if it's a lot of money,
"If your friend asks you for your username and password to use your Roblox account, what would you do?",Do not share it,Share it,Only share it once,
"If someone says something to you online that makes you uncomfortable, what should you do?",Tell a trusted adult,Keep messaging that person,Say something mean to them,
