Name,Phrase,FishNum
Sea Angel,"You've just netted the holy grail of ocean finds, a Sea Angel!",41
Turtle,Slow and steady wins the race! You caught a turtle!,42
Octopus,Tentacool catch! It's an Octopus!,43
Pink Fantasia,Looks like you found the pink of the litter! It's a Pink Fantasia!,44
Sea Spider,"You've caught a Sea Spider - it's not really a spider, but we won't tell if you don't.",45
Jellyfish,Causing waves with your jelly-fishing skills! You've caught a Jellyfish!,46
Sea Cucumber,Way to sea-cure a great catch! You've reeled in a Sea Cucumber.,47
Christmas Tree Worm,A worm with a festive twist! It's a Christmas Tree Worm!,48
Sea Pen,You've got the write stuff! You've caught a Sea Pen!,49
Sea Urchin,Urchin for some more fishing? You've caught a Sea Urchin!,50
Blue Lobster,Feeling blue? Not anymore! You caught a Blue Lobster!,51
Saltwater Snail,Snailed it! You caught a Saltwater Snail!,52
Crucian Carp,Carp-e diem! You caught a Crucian Carp!,53
Bluegill,Bluegill-iant! You caught a Bluegill!,54
Tilapia,You've got the skills to pay the bills! Tilapia caught!,55
Smelt,Smelt you later! You caught a Smelt.,56
Trout,That's trout of this world! You've reeled in a Trout!,57
Betta,You bet-ta believe it! You've reeled in a Betta!,58
Rainbow Trout,This is the treasure at the end of the rainbow! You've caught a Rainbow Trout.,59
Yellow Perch,You caught the mellow yellow of the water! Yellow Perch caught!,60
Char,This is one char-ismatic catch! Char caught!,61
Guppy,Guppy love! You caught a Guppy!,62
King Salmon,That's a royal catch! You reeled in a King Salmon!,63
Neon Tetra,You've got a bright future in fishing! Neon Tetra caught!,64
Piranha,You've got some sharp skills! You've reeled in a Piranha!,65
Bitterling,That catch is anything but bitter! You caught a Bitterling!,66
Black Bass,You're a reel pro! Black Bass caught!,67
Eel,That's an eel-y good catch! You've reeled in an Eel.,68
Chub,"Chub-a-dub-dub, you caught a Chub.",69
Perch,This is a perch-fect catch! Yellow Perch caught!,70
